"Iteration","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Heat","Linear_Solver_Iterations","CFL_Number","Time(min)"
         177, -4.09340930e+03, 0.00000000e+00, 0.00000000e+00, -6.82169024e+00, 0.0000000000, 7794.8937439761, 0.1608227168
         178, -4.27562897e+03, 0.00000000e+00, 0.00000000e+00, -6.82975003e+00, 0.0000000000, 5821.1352118210, 0.1616949092
         179, -4.19323926e+03, 0.00000000e+00, 0.00000000e+00, -6.97314037e+00, 0.0000000000, 5908.2044681109, 0.1625655620
         180, -4.05504913e+03, 0.00000000e+00, 0.00000000e+00, -6.98264263e+00, 0.0000000000, 7694.2765533334, 0.1634330422
         181, -4.09363979e+03, 0.00000000e+00, 0.00000000e+00, -6.83733780e+00, 0.0000000000, 7830.1411972917, 0.1643011877
         182, -4.25852316e+03, 0.00000000e+00, 0.00000000e+00, -6.87909989e+00, 0.0000000000, 5603.5696096804, 0.1651740963
         183, -4.15925842e+03, 0.00000000e+00, 0.00000000e+00, -7.00157214e+00, 0.0000000000, 6051.6589317116, 0.1660448901
         184, -4.05357604e+03, 0.00000000e+00, 0.00000000e+00, -7.00858604e+00, 0.0000000000, 7583.1952201178, 0.1669125075
         185, -4.08731773e+03, 0.00000000e+00, 0.00000000e+00, -6.88460573e+00, 0.0000000000, 7681.8064425932, 0.1677836218
         186, -4.21805045e+03, 0.00000000e+00, 0.00000000e+00, -6.92638634e+00, 0.0000000000, 5774.0833360821, 0.1686550532
         187, -4.13080005e+03, 0.00000000e+00, 0.00000000e+00, -7.03942755e+00, 0.0000000000, 6236.0205924311, 0.1695274165
         188, -4.03403763e+03, 0.00000000e+00, 0.00000000e+00, -7.03233009e+00, 0.0000000000, 7679.6337071125, 0.1703993652
         189, -4.08135971e+03, 0.00000000e+00, 0.00000000e+00, -6.90700322e+00, 0.0000000000, 7555.1492800596, 0.1712692608
         190, -4.18972728e+03, 0.00000000e+00, 0.00000000e+00, -6.97514633e+00, 0.0000000000, 5661.3001355296, 0.1721402816
         191, -4.09953546e+03, 0.00000000e+00, 0.00000000e+00, -7.07036461e+00, 0.0000000000, 6418.4573547674, 0.1730138610
         192, -4.02521757e+03, 0.00000000e+00, 0.00000000e+00, -7.05103569e+00, 0.0000000000, 7649.0110195978, 0.1738858490
         193, -4.08086942e+03, 0.00000000e+00, 0.00000000e+00, -6.94331418e+00, 0.0000000000, 7316.0449886136, 0.1747611332
         194, -4.17220946e+03, 0.00000000e+00, 0.00000000e+00, -7.02168847e+00, 0.0000000000, 5708.9318490116, 0.1756397579
         195, -4.07592401e+03, 0.00000000e+00, 0.00000000e+00, -7.10281851e+00, 0.0000000000, 6595.5997206312, 0.1765134220
         196, -4.02906887e+03, 0.00000000e+00, 0.00000000e+00, -7.06937805e+00, 0.0000000000, 7658.7575863827, 0.1773894589
         197, -4.09976778e+03, 0.00000000e+00, 0.00000000e+00, -6.98154814e+00, 0.0000000000, 7091.1694563601, 0.1782655772
         198, -4.13925630e+03, 0.00000000e+00, 0.00000000e+00, -7.10626143e+00, 0.0000000000, 5792.7922400135, 0.1791421764
